rule,paragraph,directive
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.1 Authorized Ammunition 11 Education and Training Division Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.1 Authorized Ammunition 12-13 Officer's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"1.4.1 Authorized Ammunition  Appendix ""A"""
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.2 Firearms Training Qualification and Requalification 1-9 Policy Statement 
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.2 Firearms Training Qualification and Requalification  Definitions
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.2 Firearms Training Qualification and Requalification 10-20 Duty Firearms Qualification
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.2 Firearms Training Qualification and Requalification 21-23 Non-Qualification of any Approved or Assigned Firearm
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.2 Firearms Training Qualification and Requalification 24-27 Failure to Qualify-Unarmed Status
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.2 Firearms Training Qualification and Requalification 28-33 Patrol Rifle Qualification/Training
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.2 Firearms Training Qualification and Requalification 34-39 Duty Shotguns
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.2 Firearms Training Qualification and Requalification 40 Rangemaster Duties
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.2 F 41-48 Range Commander Duties
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.2 Firearms Training Qualification and Requalification 49-52 Firearms Training-Voluntary Shooting Program
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"1.4.2 Firearms Training Qualification and Requalification Appendix ""A"" Post Handgun Qualification Course"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"1.4.2 Firearms Training Qualification and Requalification Appendix ""B"" NOPD Patrol Rifle Qualification Course"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"1.4.2 Firearms Training Qualification and Requalification Appendix ""C"" NOPD Shotgun Qualification Course"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.3 Scenario Based Firearms Training 1-2 Purpose
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.3 Scenario Based Firearms Training 3 Policy Statement 
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.3 Scenario Based Firearms Training  Definitions
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.3 Scenario Based Firearms Training 4-8 Firearms Simulation Training Authorization
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.3 Scenario Based Firearms Training 9-18 Scenario-Based Training
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.3 Scenario Based Firearms Training 19-30 Additional Safety Protocol for Training with Submunitions
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.3 Scenario Based Firearms Training 31-33 Mandatory Safety Briefing for Training with Simulated Training Ammunitions
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.4.3 Scenario Based Firearms Training 34-35 Training Documentation & Responsibility
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 1-6 Policy Statement 
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW)  Definitions
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 7-14 General
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 15-24 Issuance and Carrying of the Conducted Electrical Weapons
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 25 Spark Testing
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 26-28 Malfunctions
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 29-31 Verbal and Visual Warnings
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 32-38 Use of a Conducted Electrical Weapon
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 39-47 Application of a Conducted Electrical Weapon
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 48-51 Special Deployment Considerations
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 52-54 Targeting Considerations
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 55-58 Multiple Applications of the Conducted Electrical Weapon
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 59-66 CEW Use on a Dangerous Animal
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 67 CEW Camera
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 68-69 OFF-DUTY Considerations
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 70-73 Documentation
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 74-83 Actions Following Deployment
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 84-89 Medical Treatment
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 90-92 Supervisor Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 93 Education and Training Division
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 94-103 Training 
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 104-105 CEW Discharge Reporting Procedures
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 106-107 Application/Discharge
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 108 Accidental Discharge
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 109 Supervisor's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 110-112 Education and Training Division Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 113-114 CEW Discharges Outside Orleans Parish
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 115 Supervisor's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.7.1 Conducted Electrical Weapon (CEW) 116-125 Public Integrity Bureau Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.8 Weapons and Equipment Evaluation Committee 1 Committee Members
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.8 Weapons and Equipment Evaluation Committee 2 Scheduled Meetings
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.8 Weapons and Equipment Evaluation Committee 3-8 Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 1-6 Policy
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests  Definitions
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 7-8 Authority to Arrest
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 9-10 Officers' Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 11-21 Supervisor's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 22-27 District/Division Commander's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 27-31 Arrests within Residence/Domicile
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 32-40 Search Incident to an arrest
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"1.9 Arrests 41-42 Wanted Persons-Release, Summons, and Arrest of"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 43-48 Adult Arrests-State Felony and/or Misdemeanor
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 49-52 Adult Arrests Without a Warrant-State Misdemeanor and Felony
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 53-58 Arrest Originating within Orleans Parish of Adult Wanted Persons
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 59 Adult Municipal Arrests
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 60 Municipal/Traffic Court Attachment Arrests
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9 Arrests 61 Cancellation Bulletins
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9.1 Miranda Rights 1-3 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9.1 Miranda Rights 4-11 General Information on Miranda Rights
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9.1 Miranda Rights 12-13 Miranda Warning/Advisement of Rights
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9.1 Miranda Rights 14-17 Securing a Waiver of Miranda Rights
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9.1 Miranda Rights 18-20 Additional Warning to a Juvenile
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9.1 Miranda Rights 21-22 Additional Warning for the Deaf
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9.1 Miranda Rights 23-26 Additional Requirements For Limited English Proficiency
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9.1 Miranda Rights 27 Non-Custodial Questioning
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9.1 Miranda Rights 28-30 Interrogation After the Suspect Has Requested a lawyer or Invokes Right to Remain Silent
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.9.1 Miranda Rights 31-33 Exceptions to Miranda Rule
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.11 Warrant Inquiries 1-5 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.11 Warrant Inquiries 6-10 Persons Wanted by Jurisdictions Outside the State of Louisiana
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.11 Warrant Inquiries 11-14 Delay in Warrant Verification
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.11 Warrant Inquiries 15-17 Required Reporting Information
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.11 Warrant Inquiries 18 Transporting Fugitives
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.11 Warrant Inquiries 19-22 Receiving Fugitive Arrests From Contiguous Parishes
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.11 Warrant Inquiries 23 Juvenile Fugitive Transports
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.11 Warrant Inquiries 24-27 Fugitive Arrest Reporting Requirements
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.11 Warrant Inquiries 28 NCIC Personnel
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.14 Arrest of Postal Employees 1-2 Policy 
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.14 Arrest of Postal Employees 3-4 Arresting Officers Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.14 Arrest of Postal Employees 5-8 Supervisor's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.14 Arrest of Postal Employees 9-10 Public Integrity Bureau Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"1.17 Arrest of a Special Officer, Reserve Police Officer, Reserve Sheriff's Deputy or Any Honorary Officer or Honorary Deputy  Purpose/Definitions"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"1.17 Arrest of a Special Officer, Reserve Police Officer, Reserve Sheriff's Deputy or Any Honorary Officer or Honorary Deputy 1-4 Arresting Officer's Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"1.17 Arrest of a Special Officer, Reserve Police Officer, Reserve Sheriff's Deputy or Any Honorary Officer or Honorary Deputy 5-11 Supervisor's Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"1.17 Arrest of a Special Officer, Reserve Police Officer, Reserve Sheriff's Deputy or Any Honorary Officer or Honorary Deputy 12 Central Evidence and Property Commander's Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"1.17 Arrest of a Special Officer, Reserve Police Officer, Reserve Sheriff's Deputy or Any Honorary Officer or Honorary Deputy 13 Public Integrity Bureau Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.18 Arrest of a Law Enforcement Officer From Another Jurisdiction  Purpose/Definitions
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.18 Arrest of a Law Enforcement Officer From Another Jurisdiction 1-4 Arresting Officer's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.18 Arrest of a Law Enforcement Officer From Another Jurisdiction 5-8 Supervisor's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.18 Arrest of a Law Enforcement Officer From Another Jurisdiction 9 Central Evidence and Property Commander's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.18 Arrest of a Law Enforcement Officer From Another Jurisdiction 10-11 Public Integrity Bureau Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.22 Arrest of a City of New Orleans Employee 1-3 Arresting Officer's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.22 Arrest of a City of New Orleans Employee 4-9 Supervisor's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.22 Arrest of a City of New Orleans Employee 10-11 Public Integrity Bureau Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.24 In-Custody Deaths 1 Member's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.24 In-Custody Deaths 2 Supervisor's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.24 In-Custody Deaths 3 Communication Services Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.25 Concealed Handgun Permit 1-2 State Issued Concealed Handgun Permit
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.25 Concealed Handgun Permit 3-4 Application Process
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.25 Concealed Handgun Permit 5 Permit Issued in Another State
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"1.25 Concealed Handgun Permit 6-10 Temporary Disarming, Seizing or Revoking Permits and Handguns"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.25 Concealed Handgun Permit 11-12 Carrying Concealed Firearms Restrictions
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,1.25 Concealed Handgun Permit 13 Records
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11 Organizational Command Responsibility 1-2 Command Protocol
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11 Organizational Command Responsibility 3-6 Office of the Superintendent
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11 Organizational Command Responsibility 7-10 Hierarchy of Authority
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11 Organizational Command Responsibility 11-12 Unity of Command
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11 Organizational Command Responsibility 13 Orders
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11 Organizational Command Responsibility 14-19 Unlawful and Conflicting Orders
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"11.0.1 Duties and Responsibilities of District Commanders, Supervisory Members and Officers 1 Policy Statement"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"11.0.1 Duties and Responsibilities of District Commanders, Supervisory Members and Officers 2-5 General Information"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"11.0.1 Duties and Responsibilities of District Commanders, Supervisory Members and Officers 6-15 District Commander Duties and Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"11.0.1 Duties and Responsibilities of District Commanders, Supervisory Members and Officers 16-33 District Supervisors' Duties and Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,"11.0.1 Duties and Responsibilities of District Commanders, Supervisory Members and Officers 34-36 District Patrol Officers-General"
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11.1 Organizational Structure  Office of the Superintendent
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11.1 Organizational Structure  Field Operations Bureau
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11.1 Organizational Structure  Investigations & Support Bureau
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11.1 Organizational Structure  Public Integrity Bureau
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11.1 Organizational Structure  Compliance Bureau
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11.1 Organizational Structure  Management Services Bureau
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11.4.1 Audits and Reviews 1-4 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,11.4.1 Audits and Reviews 5-18 Audit and Review Unit
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 1-6 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 7 Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 8-10 Superintendent of Police
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 11 Superintendent's Staff
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 12 Department Members
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 13 Chapter Formatting Conventions
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 14-15 Distribution
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 16-17 Manual Acceptance/Acknowledgment
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 18-20 Revisions to Chapters
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 21-22 Periodic Review
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 23 Supervisory Members
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 24-27 Policy Standards Section
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.1 Department Operations Manual 28-30 Recommendations For New Policies
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.2 Department Orders 1-4 General Order Protocol
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.2 Department Orders 5-12 Special Orders Protocol
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.2 Department Orders 13-18 Personal Orders
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.2 Department Orders 19-31 Operations Orders
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.2 Department Orders 32-42 Policy Standards Section
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.2 Department Orders 43 Superintendent of Police
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.2 Department Orders 44-46 Supervisors
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,12.2 Department Orders 47-51 Acceptance of Departmental Orders
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.8 Administrative Communications 1-4 Correspondence
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.8 Administrative Communications 5 Surveys
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.8 Administrative Communications 6 Other Communications
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.8 Administrative Communications 7-8 Information Bulletins
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.8 Administrative Communications 9-10 Official Correspondence
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.8 Administrative Communications 11-15 Interoffice Correspondence
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.8 Administrative Communications 16-17 Information Bulletins
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.15 Overtime Payment Requests 1-8 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.15 Overtime Payment Requests 9-10 Request for Overtime Forms
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.15 Overtime Payment Requests 11 Employee Responsibility
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.15 Overtime Payment Requests 12 Accounting For Overtime Worked
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.15 Overtime Payment Requests 13 Accounting For Portions of an Hour
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.15 Overtime Payment Requests 14-19 J and T Time (Flex Time)
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.15 Overtime Payment Requests 20 Variation in Time Reported
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.15 Overtime Payment Requests 21 Overtime During Emergency Event
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.19 Excusal From the Night Watch For Court Appearance 1 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.19 Excusal From the Night Watch For Court Appearance 2-4 Excusal Approval Process
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.19 Excusal From the Night Watch For Court Appearance 5 Payroll Entries for Approved Excusal
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.24 Fire Plan For Police Headquarters 1-4 Alarm System Activation
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.24 Fire Plan For Police Headquarters 1-2 Stairways
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.24 Fire Plan For Police Headquarters 3-7 Fire Fighting Equipment
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.24 Fire Plan For Police Headquarters 8-10 First Floor Police Security Desk
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.24 Fire Plan For Police Headquarters 11-14 Evacuation of Police Headquarters
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.25 Lost or Misplaced Driver's License 1-4 Procedure
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.27.1 Job Performance Improvement Plan 1-5 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.27.1 Job Performance Improvement Plan 6-7 Guidelines
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.27.1 Job Performance Improvement Plan 9-11 Supervisor's Guidelines
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.27.1 Job Performance Improvement Plan 12 Conducting a Job Performance Improvement Plan Meetings: Before Meeting With the Employee
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.27.1 Job Performance Improvement Plan 13 Conducting a Job Performance Improvement Plan Meetings: During the Meeting With the Employee
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.27.1 Job Performance Improvement Plan 14 Conducting a Job Performance Improvement Plan Meetings: After the Meeting
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.27.1 Job Performance Improvement Plan 15-21 Completing the Job Performance Improvement Plan Form
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.27.1 Job Performance Improvement Plan 22-24 Failure to Meet Performance Expectations
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.29 Self-Identification/Building Security 1-2 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.29 Self-Identification/Building Security 3-20 Instructions
Rule 4: Performance of Duty,PARAGRAPH 04(a) - Neglect of Duty - General,13.29 Self-Identification/Building Security Appendix A Credentials
